trait	Chr	start	end	e_chr	e_start	e_peak	e_end	logP	var_exp	eQTL_classification	e_length	ens_gene	ext_gene	biotype
K08E7.5a.1	IV	12573368	12578870	IV	15038736	15446109	16032029	7.27016216755704	0.159791217379766	Distant eQTL	993293	WBGene00010673	K08E7.5	mRNA
K08E7.5a.2	IV	12573368	12578871	V	13764000	14957074	15355395	6.30535258839109	0.158234460968476	Distant eQTL	1591395	WBGene00010673	K08E7.5	mRNA
K08E7.5a.2	IV	12573368	12578871	V	18847427	20030979	20900332	7.60886140374332	0.183204877283441	Distant eQTL	2052905	WBGene00010673	K08E7.5	mRNA
K08E7.5a.2	IV	12573368	12578871	X	14181414	14460051	14739610	6.25648165179183	0.157701276568592	Distant eQTL	558196	WBGene00010673	K08E7.5	mRNA
K08E7.9.2	IV	12591695	12599171	V	13568225	14645499	15291012	7.2019687562881	0.145854388282152	Distant eQTL	1722787	WBGene00003995	pgp-1	mRNA
K08F11.5.2	IV	4712825	4715809	IV	2651044	4396037	13399981	18.8498354237607	0.330068844600159	Local eQTL	10748937	WBGene00019544	miro-1	mRNA
K08F4.8.1	IV	10143357	10143740	V	3635414	4390262	5027581	6.6038751953318	0.122727878034857	Distant eQTL	1392167	WBGene00003434	msp-38	mRNA
K08F8.1a.2	II	8743725	8747234	III	2781298	2969665	3429973	6.22645064142634	0.114777974600798	Distant eQTL	648675	WBGene00010681	mak-1	mRNA
K08F8.1b.1	II	8744071	8747234	I	13185212	14187420	15058146	7.78122428834166	0.14427040945467	Distant eQTL	1872934	WBGene00010681	mak-1	mRNA
K08F8.1b.1	II	8744071	8747234	X	12969036	13516932	13932716	6.25479540070747	0.125994313587534	Distant eQTL	963680	WBGene00010681	mak-1	mRNA
K08F8.3.2	II	8754070	8758723	IV	1284913	1565622	1952352	6.19701271500464	0.114212197846693	Distant eQTL	667439	WBGene00001505	fut-1	mRNA
K08F8.4b.1	II	8762675	8766997	II	8137444	8689612	9505213	8.5276889390638	0.210707492961461	Local eQTL	1367769	WBGene00000240	pah-1	mRNA
K08H10.1a.1	V	10020545	10023236	II	8224393	8795806	9501711	6.31986500151945	0.147545899536895	Distant eQTL	1277318	WBGene00002263	lea-1	mRNA
K08H10.5	V	9997094	9998481	II	303892	795578	1196004	7.09849674822348	0.178969293746467	Distant eQTL	892112	WBGene00014805	K08H10.5	pseudogenic_transcript
K08H10.5	V	9997094	9998481	V	5805043	10559210	15087307	18.2509548470625	0.339544050041765	Local eQTL	9282264	WBGene00014805	K08H10.5	pseudogenic_transcript
K08H2.1.1	X	13226134	13226664	II	12996369	13158734	13394583	7.00553037359627	0.157839924958447	Distant eQTL	398214	WBGene00004827	skr-21	mRNA
K08H2.3.1	X	13237389	13238476	IV	15005638	15659838	16715124	10.9037979003399	0.274216559587792	Distant eQTL	1709486	WBGene00010690	K08H2.3	mRNA
K08H2.9.1	X	13228504	13232359	X	7879434	8740307	9376318	7.64751979995587	0.145059972608354	Distant eQTL	1496884	WBGene00010694	bgnt-1.5	mRNA
K09A11.1.1	X	13262495	13264589	X	10737643	13234907	14225294	24.6572553745544	0.567692244005244	Local eQTL	3487651	WBGene00010704	K09A11.1	mRNA
K09A11.3.1	X	13267562	13269715	X	12022654	13197313	16036579	19.7586614226123	0.343483474850256	Local eQTL	4013925	WBGene00010706	cyp-14A2	mRNA
K09A11.3.2	X	13267561	13269715	X	12367487	13197313	14751322	15.8479059849325	0.314823758297542	Local eQTL	2383835	WBGene00010706	cyp-14A2	mRNA
K09A11.4.1	X	13271837	13274218	V	18685235	19945382	20900332	7.71238317715358	0.15291303078368	Distant eQTL	2215097	WBGene00010707	cyp-14A3	mRNA
K09A9.8.1	X	15596182	15597170	X	15156230	15650548	16441289	7.9018223815971	0.146524801800057	Local eQTL	1285059	WBGene00194849	K09A9.8	mRNA
K09B11.10.1	IV	13434172	13445375	IV	3699373	4430374	6457100	7.18716917595527	0.134826192210104	Distant eQTL	2757727	WBGene00010714	mam-3	mRNA
K09B11.1a.1	IV	13416792	13422391	IV	4059212	13425227	14033766	20.364740953823	0.355055511655346	Local eQTL	9974554	WBGene00004029	pik-1	mRNA
K09B11.1a.2	IV	13416069	13422391	IV	6428206	13358034	14420820	11.3770232392645	0.211145312482181	Local eQTL	7992614	WBGene00004029	pik-1	mRNA
K09B11.5a.1	IV	13431240	13434004	IV	11598143	13328154	14018325	6.79927614312199	0.125734249387838	Local eQTL	2420182	WBGene00010712	K09B11.5	mRNA
K09B11.5b.1	IV	13431288	13433115	IV	12692932	13537231	14069958	7.01183514514922	0.142234323121301	Local eQTL	1377026	WBGene00010712	K09B11.5	mRNA
K09B11.5b.1	IV	13431288	13433115	X	1147807	4119181	5329090	6.71961395836981	0.148949901214773	Distant eQTL	4181283	WBGene00010712	K09B11.5	mRNA
K09B11.9a.1	IV	13445451	13454798	I	2417713	2747057	3479286	6.48242469802041	0.17368278399219	Distant eQTL	1061573	WBGene00010713	uso-1	mRNA
K09C4.2.1	X	3296482	3298031	X	1573659	3306745	7373046	29.2343749683405	0.574533143870378	Local eQTL	5799387	WBGene00019548	K09C4.2	mRNA
K09C4.3	X	3293290	3294369	X	1596639	3306745	5496487	47.6865756751453	0.708027019515566	Local eQTL	3899848	WBGene00002006	hsp-2	pseudogenic_transcript
K09C6.7a.1	V	835757	838384	V	1191	668568	1008842	6.27331005407831	0.182356527903835	Local eQTL	1007651	WBGene00019561	K09C6.7	mRNA
K09C6.7b.1	V	835757	839099	V	1191	685522	5152235	16.2991335643198	0.292180998426187	Local eQTL	5151044	WBGene00019561	K09C6.7	mRNA
K09C6.8a.1	V	840210	843218	V	1191	702347	1663071	17.8760092283262	0.433505936348346	Local eQTL	1661880	WBGene00019562	K09C6.8	mRNA
K09D9.11	V	3997124	4001465	V	19046915	20410593	20900332	6.52253096704154	0.13353515673967	Distant eQTL	1853417	WBGene00019568	K09D9.11	pseudogenic_transcript
K09D9.13.1	V	4017080	4019026	I	11695783	12581234	13463537	6.61485587678907	0.138055020814754	Distant eQTL	1767754	WBGene00005836	srw-89	mRNA
K09D9.13.1	V	4017080	4019026	V	2188300	4115447	6127661	11.919152224753	0.29932997290733	Local eQTL	3939361	WBGene00005836	srw-89	mRNA
K09D9.2.1	V	4022609	4024479	II	2753028	3402871	5429712	9.60852713273209	0.236028289059119	Distant eQTL	2676684	WBGene00019565	cyp-35A3	mRNA
K09D9.2.1	V	4022609	4024479	X	10622051	12115322	12826915	6.93969876814239	0.182941039389351	Distant eQTL	2204864	WBGene00019565	cyp-35A3	mRNA
K09D9.4	V	4015587	4016938	V	2089182	4024278	13906013	72.680873584488	0.807028390042703	Local eQTL	11816831	WBGene00005232	srh-6	pseudogenic_transcript
K09E10.2b.1	IV	12308142	12311667	IV	9096535	12868732	13646302	6.30563235027903	0.139021931157615	Local eQTL	4549767	WBGene00019580	oac-58	mRNA
K09E10.2b.2	IV	12308142	12311629	IV	7244458	12868732	13646302	6.70314609084833	0.142385888467998	Local eQTL	6401844	WBGene00019580	oac-58	mRNA
K09E3.4	X	17119294	17120907	II	361769	2208261	2785684	22.1494004904526	0.377532821634243	Distant eQTL	2423915	WBGene00019575	K09E3.4	pseudogenic_transcript
K09E3.7.2	X	17131347	17134531	X	13352779	13846805	14231132	6.92617130876899	0.151922513911753	Distant eQTL	878353	WBGene00019578	K09E3.7	mRNA
K09E4.3a.2	II	14123944	14126943	II	13269291	14123563	15272855	11.6133848057362	0.3988656819242	Local eQTL	2003564	WBGene00010721	K09E4.3	mRNA
K09E9.3a.2	X	15611766	15613793	IV	13808589	14547270	15531652	6.49564967341749	0.124813600690159	Distant eQTL	1723063	WBGene00010726	K09E9.3	mRNA
K09E9.3a.2	X	15611766	15613793	V	12433268	13938211	15031753	6.18581407510831	0.113996900172009	Distant eQTL	2598485	WBGene00010726	K09E9.3	mRNA
K09E9.3b.1	X	15611795	15613793	IV	10734306	13190783	17235316	6.99913245523899	0.166940397947826	Distant eQTL	6501010	WBGene00010726	K09E9.3	mRNA
K09F5.2.1	X	7727889	7733168	IV	15491997	16047511	16474167	7.00075704676912	0.142051109515037	Distant eQTL	982170	WBGene00006925	vit-1	mRNA
K09G1.4a.2	V	9608560	9614942	I	11611526	12433277	13330937	6.13698338996235	0.114353666082494	Distant eQTL	1719411	WBGene00001053	dop-2	mRNA
K09H11.7.1	V	5752352	5753532	I	1410349	1886781	2388781	7.51241541593377	0.179407220267922	Distant eQTL	978432	WBGene00019604	pgph-1	mRNA
K09H11.7.1	V	5752352	5753532	V	4423462	5711092	9553144	12.3471193134442	0.229026374059019	Local eQTL	5129682	WBGene00019604	pgph-1	mRNA
K09H11.9.1	V	5714760	5716581	IV	3699373	4430374	6453908	7.69183936878783	0.142596327012935	Distant eQTL	2754535	WBGene00044539	K09H11.9	mRNA
K09H9.7.1	I	3150341	3152003	IV	14869073	15522705	16384240	8.09857395612531	0.391898547283312	Distant eQTL	1515167	WBGene00019598	K09H9.7	mRNA
K09H9.8.1	I	3138541	3140711	I	2539856	3135376	5961170	14.063066718275	0.273634146764636	Local eQTL	3421314	WBGene00045387	K09H9.8	mRNA
K09H9.8.2	I	3138535	3140711	I	2571357	3135376	5370666	11.1177375467318	0.2505364250769	Local eQTL	2799309	WBGene00045387	K09H9.8	mRNA
K10B2.3a.2	II	6365722	6367002	II	3737245	5697717	9628168	18.1815013557348	0.352681986421272	Local eQTL	5890923	WBGene00019606	clec-88	mRNA
K10C2.12.1	X	6420074	6420781	I	6415	663694	1179424	7.08150733244593	0.136595336261435	Distant eQTL	1173009	WBGene00206386	K10C2.12	mRNA
K10C2.14.1	X	6439645	6440564	X	4972025	6441359	9488784	71.1171697868318	0.847954378027516	Local eQTL	4516759	WBGene00206388	K10C2.14	mRNA
K10C3.5b.1	I	9863588	9869063	I	3134035	9651408	13171417	30.8234497670589	0.520023634223051	Local eQTL	10037382	WBGene00010732	K10C3.5	mRNA
K10C8.1.1	V	12692481	12695255	V	6563822	10407905	14292100	9.91960986095166	0.194809882553558	Distant eQTL	7728278	WBGene00010734	parn-1	mRNA
K10C8.4.2	V	12696225	12696877	V	11516185	13722936	14772600	6.3224021775772	0.119430424655622	Distant eQTL	3256415	WBGene00010737	K10C8.4	mRNA
K10C9.1.1	V	1075200	1079597	V	1191	976632	1625140	9.63554064352252	0.215065988991602	Local eQTL	1623949	WBGene00019623	K10C9.1	mRNA
K10C9.3.2	V	1061593	1067910	V	10285793	13914214	15232687	6.74491707670727	0.166581520376897	Distant eQTL	4946894	WBGene00019624	rnst-2	mRNA
K10C9.7.2	V	1065674	1067672	V	1191	5979	1647731	26.862734989175	0.441256820119583	Distant eQTL	1646540	WBGene00019626	K10C9.7	mRNA
K10D11.1.1	IV	12976231	12978343	IV	6767583	11546395	13321960	7.23116165564528	0.133735731166232	Distant eQTL	6554377	WBGene00010745	dod-17	mRNA
K10D11.1.2	IV	12976293	12978346	IV	8435711	12844121	13559381	6.52254745596087	0.15598037952079	Local eQTL	5123670	WBGene00010745	dod-17	mRNA
K10D11.5.1	IV	12989685	12991843	I	13410898	14759881	15058146	7.1320434577385	0.13205132699409	Distant eQTL	1647248	WBGene00010749	K10D11.5	mRNA
K10D11.5.1	IV	12989685	12991843	IV	4250838	12985657	13829654	27.480629971714	0.447342939790593	Local eQTL	9578816	WBGene00010749	K10D11.5	mRNA
K10D11.5.2	IV	12989684	12991804	IV	9871530	12962939	13740645	7.0355059848245	0.133944643479512	Local eQTL	3869115	WBGene00010749	K10D11.5	mRNA
K10D3.6.1	I	7116329	7116655	I	4902407	9765400	11764026	6.20308534003125	0.154383685390481	Distant eQTL	6861619	WBGene00010740	K10D3.6	mRNA
K10F12.6	III	398728	399392	III	12249	709100	1007691	8.1344894113517	0.163954849032192	Local eQTL	995442	WBGene00019638	K10F12.6	pseudogenic_transcript
K10G4.13	V	17294413	17297359	V	15002739	16817481	19595251	12.1264384778852	0.31129697023333	Local eQTL	4592512	WBGene00077629	K10G4.13	pseudogenic_transcript
K10G4.3.1	V	17264066	17264955	V	16010877	16856759	18594858	8.27212023262174	0.196214029576783	Local eQTL	2583981	WBGene00010752	K10G4.3	mRNA
K10G4.5.1	V	17298283	17301475	V	15549951	16968496	19642003	8.53580525565745	0.249379483106783	Local eQTL	4092052	WBGene00010754	K10G4.5	mRNA
K10G6.2.1	II	3976246	3978024	IV	3699373	4430374	6457100	6.76276371206103	0.153178960309913	Distant eQTL	2757727	WBGene00019640	dos-2	mRNA
K10G6.2.1	II	3976246	3978024	V	13594151	14649731	15302950	6.40367662875499	0.131915271103759	Distant eQTL	1708799	WBGene00019640	dos-2	mRNA
K10G6.3b.1	II	3962223	3972140	II	3087279	3501741	3741752	6.47457855710108	0.143549853983125	Local eQTL	654473	WBGene00004751	sea-2	mRNA
K10G6.3b.1	II	3962223	3972140	V	13166974	14649731	15294340	8.33970672490207	0.154668734118847	Distant eQTL	2127366	WBGene00004751	sea-2	mRNA
K10G6.3b.1	II	3962223	3972140	V	18899820	20030979	20900332	6.28682357842106	0.132805774629333	Distant eQTL	2000512	WBGene00004751	sea-2	mRNA
K10G6.3g.1	II	3950377	3971544	II	1493504	4355779	6153330	8.17078010522767	0.196982234746236	Local eQTL	4659826	WBGene00004751	sea-2	mRNA
K10G6.5.1	II	3987250	3988186	II	3415208	4357231	6868701	8.18244171027863	0.22218307536097	Local eQTL	3453493	WBGene00044381	K10G6.5	mRNA
K10G9.3b.1	III	10279127	10281569	IV	240341	733564	1019943	6.14639071719136	0.147506865840208	Distant eQTL	779602	WBGene00010757	pad-2	mRNA
K11C4.5c.1	V	6901686	6928949	III	2831407	3106655	3733147	7.428254555689	0.163817057175205	Distant eQTL	901740	WBGene00006801	unc-68	mRNA
K11D12.10b.1	V	5056381	5064811	V	4492710	5426956	7626625	6.2049455595377	0.114893051963099	Local eQTL	3133915	WBGene00003374	mlk-1	mRNA
K11D12.13.2	V	5033399	5034172	II	393920	880894	2332234	6.78315275086016	0.126003014467855	Distant eQTL	1938314	WBGene00044535	K11D12.13	mRNA
K11D12.2.1	V	5049541	5052214	V	4389526	5065362	7122132	8.45167786476316	0.181403866823103	Local eQTL	2732606	WBGene00004136	pqn-51	mRNA
K11D12.2.2	V	5049586	5052213	V	4141517	5436941	7651434	11.8856127701741	0.297411043692148	Local eQTL	3509917	WBGene00004136	pqn-51	mRNA
K11D2.3a.1	I	12508488	12513420	I	11998938	12987942	14109069	7.36016330737294	0.16769677671082	Local eQTL	2110131	WBGene00006829	unc-101	mRNA
K11D2.4e.1	I	12523211	12528319	V	18847432	20410593	20900332	6.74589016249108	0.124717489434677	Distant eQTL	2052900	WBGene00010770	K11D2.4	mRNA
K11D2.5.2	I	12513514	12518699	I	11332514	12497210	13623980	7.70177487611402	0.186466386798085	Local eQTL	2291466	WBGene00010771	K11D2.5	mRNA
K11D2.5.2	I	12513514	12518699	IV	3771041	4665571	12635109	6.6257640033858	0.136411260863184	Distant eQTL	8864068	WBGene00010771	K11D2.5	mRNA
K11D9.1b.1	III	10808341	10811001	IV	15445553	16027005	16558552	6.38303249613639	0.121123024310467	Distant eQTL	1112999	WBGene00002219	klp-7	mRNA
K11H12.11.1	IV	668912	670555	IV	43186	677478	1160042	32.7224342113654	0.471961113203873	Local eQTL	1116856	WBGene00044723	K11H12.11	mRNA
K11H12.3.1	IV	672153	673480	IV	43186	751343	1347804	18.4664656648388	0.352678825990195	Local eQTL	1304618	WBGene00019659	K11H12.3	mRNA
K11H12.5.1	IV	677609	679230	IV	43186	594483	942712	6.7062474985145	0.168743417323872	Local eQTL	899526	WBGene00019661	K11H12.5	mRNA
K11H12.6b.1	IV	667393	668667	IV	43186	751766	1197565	26.1353034370311	0.494465668094988	Local eQTL	1154379	WBGene00019662	K11H12.6	mRNA
K11H12.8b.1	IV	655390	658604	IV	43186	598457	1808139	8.66683621716838	0.161967265860184	Local eQTL	1764953	WBGene00019664	K11H12.8	mRNA
K11H12.9d.1	IV	651320	652182	IV	43186	618300	1202709	13.7256697136368	0.249333998560964	Local eQTL	1159523	WBGene00019665	K11H12.9	mRNA
K11H3.8a.1	III	9835192	9838647	III	2158257	8269370	10558911	21.0990130021307	0.554216524798885	Distant eQTL	8400654	WBGene00185002	K11H3.8	mRNA
K11H3.8b.2	III	9835192	9838647	III	8876716	9635538	10244022	6.51940245403534	0.101669054182142	Local eQTL	1367306	WBGene00185002	K11H3.8	mRNA
K11H3.8b.2	III	9835192	9838647	IV	1658768	2177206	2695801	8.86931368976887	0.296412807595816	Distant eQTL	1037033	WBGene00185002	K11H3.8	mRNA
K12D12.5.2	II	11861022	11863518	IV	16669146	17201200	17333182	6.2441237474292	0.115117512839843	Distant eQTL	664036	WBGene00010787	K12D12.5	mRNA
K12G11.6.1	V	11894331	11895808	V	9697708	14649731	15294340	7.40309840793901	0.145025693881536	Distant eQTL	5596632	WBGene00010792	K12G11.6	mRNA
K12H4.1.1	III	8067289	8071463	X	12850823	13448004	13890328	6.19239144099	0.116009918179777	Distant eQTL	1039505	WBGene00000448	pros-1	mRNA
K12H6.12.1	II	2808167	2812860	II	2380004	2769983	3421235	20.6709380444488	0.362295757396273	Local eQTL	1041231	WBGene00019691	K12H6.12	mRNA
K12H6.12.1	II	2808167	2812860	IV	6904672	13357957	13981315	7.49790446769038	0.2149591965583	Distant eQTL	7076643	WBGene00019691	K12H6.12	mRNA
K12H6.2.1	II	2812818	2815544	II	2436863	2761400	3406415	7.39334734359669	0.141764649051119	Local eQTL	969552	WBGene00019683	K12H6.2	mRNA
K12H6.2.2	II	2812818	2814770	II	2063402	2858869	3416782	11.5650844137697	0.0970169055787193	Local eQTL	1353380	WBGene00019683	K12H6.2	mRNA
K12H6.6a.2	II	2828577	2834284	II	808667	2831547	3493217	44.7272596857572	0.635372889020012	Local eQTL	2684550	WBGene00019686	K12H6.6	mRNA
K12H6.6a.2	II	2828577	2834284	V	5057228	6989071	10889256	7.18420264813503	0.123350668607218	Distant eQTL	5832028	WBGene00019686	K12H6.6	mRNA
K12H6.7.1	II	2834953	2836780	II	2111466	2783452	3405765	10.0488188953358	0.373893527603802	Local eQTL	1294299	WBGene00019687	K12H6.7	mRNA
LLC1.121	IV	14446555	14447620	IV	12009649	14420820	16400078	74.2825239367573	0.809246741954275	Local eQTL	4390429	WBGene00235121	LLC1.121	pseudogenic_transcript
M01A10.2b.1	I	5560141	5561642	V	18847432	20001672	20900332	6.65852340786621	0.123051601722515	Distant eQTL	2052900	WBGene00006594	tom-1	mRNA
M01A10.3.1	I	5549137	5550295	I	2955288	4847185	9915074	8.60732375388739	0.171819109139727	Local eQTL	6959786	WBGene00019693	ostd-1	mRNA
M01A10.3.2	I	5549137	5550428	I	9639517	11710030	12596945	6.82715633963488	0.12626487824888	Distant eQTL	2957428	WBGene00019693	ostd-1	mRNA
M01B12.3.1	I	3069329	3078677	I	1651826	3059060	5761195	19.9207668235933	0.345848573108832	Local eQTL	4109369	WBGene00000205	arx-7	mRNA
M01B12.3.2	I	3069323	3070156	I	2524451	3088413	5626781	9.89810443038952	0.198810343703078	Local eQTL	3102330	WBGene00000205	arx-7	mRNA
M01B12.3.2	I	3069323	3070156	III	1458377	1849564	2275338	6.32689884382817	0.119905531611409	Distant eQTL	816961	WBGene00000205	arx-7	mRNA
M01B12.4a.1	I	3070973	3084874	I	2509721	3073760	4843830	6.78866684819523	0.117667753982046	Local eQTL	2334109	WBGene00019697	M01B12.4	mRNA
M01B12.4a.2	I	3070969	3084874	I	2561261	3426142	7533434	6.30457285483866	0.11627815900266	Local eQTL	4972173	WBGene00019697	M01B12.4	mRNA
M01B12.4c.1	I	3070973	3084884	I	2509721	3073760	6001199	18.4276198446429	0.348195484370382	Local eQTL	3491478	WBGene00019697	M01B12.4	mRNA
M01B12.4c.2	I	3070969	3084884	I	2561261	3073760	4842353	9.39020630402559	0.171494712355201	Local eQTL	2281092	WBGene00019697	M01B12.4	mRNA
M01B2.10.1	V	15260890	15262248	II	3684888	3978307	4546818	8.65622852629707	0.161963793309651	Distant eQTL	861930	WBGene00010803	M01B2.10	mRNA
M01B2.10.1	V	15260890	15262248	V	2278071	15125648	15728118	8.76008025614604	0.163889749363008	Local eQTL	13450047	WBGene00010803	M01B2.10	mRNA
M01D1.3.1	II	1023693	1024784	II	354147	1075882	1490583	7.43312329810574	0.216546424759818	Local eQTL	1136436	WBGene00019700	btb-11	mRNA
M01D7.2a.2	I	1862573	1872311	I	1332987	1902516	2393726	7.40040830412479	0.137119541578292	Local eQTL	1060739	WBGene00004743	scm-1	mRNA
M01D7.4a.1	I	1845200	1850523	I	1781097	2236543	2585688	6.94886480834067	0.116936881879494	Local eQTL	804591	WBGene00006461	tag-96	mRNA
M01D7.7b.1	I	1835701	1841937	I	1255890	1859074	2725644	9.27088306656542	0.227757733423538	Local eQTL	1469754	WBGene00001196	egl-30	mRNA
M01D7.7b.1	I	1835701	1841937	II	2794449	3205369	3737957	7.37275748247996	0.181507468853622	Distant eQTL	943508	WBGene00001196	egl-30	mRNA
M01E10.2a.1	III	2034850	2048007	II	13092155	13265642	13610198	6.50140793455172	0.169751436160225	Distant eQTL	518043	WBGene00001063	dpy-1	mRNA
M01E5.2.1	I	13276968	13280175	I	11889903	13190173	14706287	28.2004495442255	0.548143212634157	Local eQTL	2816384	WBGene00010805	M01E5.2	mRNA
M01E5.2.1	I	13276968	13280175	IV	767929	1040866	1159952	7.10789686244913	0.178181710921159	Distant eQTL	392023	WBGene00010805	M01E5.2	mRNA
M01E5.2.2	I	13276968	13280178	I	11889903	13190173	14704310	24.0795613510959	0.501871682072413	Local eQTL	2814407	WBGene00010805	M01E5.2	mRNA
M01E5.5a.1	I	13292506	13297555	I	11764026	14405536	15058146	6.68491257173329	0.130216414112174	Distant eQTL	3294120	WBGene00006595	top-1	mRNA
M01F1.1.1	III	3490337	3493238	III	3030046	5287306	5859122	7.62415428447327	0.363066847101588	Distant eQTL	2829076	WBGene00001639	gly-14	mRNA
M01F1.8a.2	III	3499371	3502547	III	3030046	3546565	4586757	9.3645306059695	0.212051903062224	Local eQTL	1556711	WBGene00010814	M01F1.8	mRNA
M01G12.12.1	I	12098671	12106407	I	6319839	12153609	13718580	9.28627230724133	0.259989400998924	Local eQTL	7398741	WBGene00004509	rrf-2	mRNA
M01G12.12.2	I	12098671	12105989	I	3689285	12102019	14715909	13.332403481147	0.319674212837328	Local eQTL	11026624	WBGene00004509	rrf-2	mRNA
M01G12.12.2	I	12098671	12105989	IV	3090826	3769717	4833094	7.03219040947898	0.0994458242742448	Distant eQTL	1742268	WBGene00004509	rrf-2	mRNA
M01G12.14.1	I	12107044	12108503	I	5091132	12070233	13599094	22.7217818689375	0.409500364691657	Local eQTL	8507962	WBGene00010825	M01G12.14	mRNA
M01G12.14.1	I	12107044	12108503	III	2064889	2509959	2807281	6.35884231353799	0.135508612845612	Distant eQTL	742392	WBGene00010825	M01G12.14	mRNA
M01G12.7.1	I	12114064	12116304	I	6415	345372	1146833	6.48139746195831	0.17027131310625	Distant eQTL	1140418	WBGene00010821	M01G12.7	mRNA
M01G12.7.1	I	12114064	12116304	I	5772518	12153609	13690859	26.9777686999293	0.636861916486006	Local eQTL	7918341	WBGene00010821	M01G12.7	mRNA
M01G12.7.1	I	12114064	12116304	V	15280032	15743935	16018750	6.64611442400634	0.149597911902716	Distant eQTL	738718	WBGene00010821	M01G12.7	mRNA
M01G12.9.1	I	12108588	12112505	I	2733130	11942471	14106800	17.7724449265181	0.474580191914986	Local eQTL	11373670	WBGene00010822	M01G12.9	mRNA
M01G5.1.1	III	1495809	1509344	III	12249	1597274	2664897	25.6667555570597	0.447396889974534	Local eQTL	2652648	WBGene00019715	M01G5.1	mRNA
M01G5.1.1	III	1495809	1509344	V	1191	277944	537531	6.95758537479037	0.234910758827779	Distant eQTL	536340	WBGene00019715	M01G5.1	mRNA
M01G5.1.2	III	1496387	1509301	III	12249	1518365	2206705	14.0045143860386	0.309803577525892	Local eQTL	2194456	WBGene00019715	M01G5.1	mRNA
M01G5.3.1	III	1509264	1518573	III	1097520	1801863	2186998	6.70296058596625	0.139825096010431	Local eQTL	1089478	WBGene00019716	M01G5.3	mRNA
M01G5.3.2	III	1509264	1517995	III	14681	1574493	2139190	10.9753797327434	0.319503947374747	Local eQTL	2124509	WBGene00019716	M01G5.3	mRNA
M01H9.2.1	IV	4460071	4462061	IV	3686531	4396037	7957120	13.7103310416206	0.256540275689474	Local eQTL	4270589	WBGene00019718	M01H9.2	mRNA
M02A10.2f.1	X	703130	714478	X	13337841	13841276	14180076	7.29868699266199	0.124320310962766	Distant eQTL	842235	WBGene00002150	irk-2	mRNA
M02B7.1.2	IV	3805485	3806716	IV	2593618	3794640	6395975	22.0726244152431	0.43441346162458	Local eQTL	3802357	WBGene00019723	fbxc-47	mRNA
M02B7.3a.1	IV	3796306	3800461	IV	3069385	3794640	6259798	14.4417709298384	0.30929631111335	Local eQTL	3190413	WBGene00003884	osm-3	mRNA
M02B7.3a.2	IV	3796306	3801052	IV	2862891	3794640	6395975	20.8214923607813	0.384561740554531	Local eQTL	3533084	WBGene00003884	osm-3	mRNA
M02B7.3b.1	IV	3796386	3800447	IV	2306315	3794640	6259798	14.8196251025641	0.339830665042967	Local eQTL	3953483	WBGene00003884	osm-3	mRNA
M02B7.4a.1	IV	3800872	3803426	IV	2172213	3794640	6395975	14.9915467211277	0.291957206608973	Local eQTL	4223762	WBGene00019725	algn-14	mRNA
M02B7.4b.1	IV	3801993	3803372	IV	2172213	3794640	7957120	25.8352704127489	0.447684876110739	Local eQTL	5784907	WBGene00019725	algn-14	mRNA
M02B7.5a.1	IV	3807637	3819328	IV	2812151	3592479	5200610	9.33039684948217	0.223278472965883	Local eQTL	2388459	WBGene00019726	bris-1	mRNA
M02B7.5a.2	IV	3807641	3819328	IV	2682695	3768166	6414536	16.6187404960417	0.362485452010765	Local eQTL	3731841	WBGene00019726	bris-1	mRNA
M02B7.5c.1	IV	3808080	3815109	IV	3144860	3794640	4759599	8.1584565982668	0.144514358609595	Local eQTL	1614739	WBGene00019726	bris-1	mRNA
M02B7.5d.1	IV	3807643	3813094	IV	3121285	3794640	12607488	7.95467719530755	0.164707032901521	Local eQTL	9486203	WBGene00019726	bris-1	mRNA
M02D8.3.1	X	8732958	8737015	IV	12985657	13745921	14412461	6.2542550255905	0.119814884654285	Distant eQTL	1426804	WBGene00019729	M02D8.3	mRNA
M02D8.6.1	X	8731310	8731922	X	5009050	8798389	9481534	11.0224839983652	0.336622071507054	Local eQTL	4472484	WBGene00019732	M02D8.6	mRNA
M02E1.3.1	X	322523	323225	III	4920719	5614402	6231312	6.26258962554513	0.0900631933197279	Distant eQTL	1310593	WBGene00023458	M02E1.3	mRNA
M02E1.3.1	X	322523	323225	IV	1928940	2433269	2976489	6.34968385465676	0.143134833341173	Distant eQTL	1047549	WBGene00023458	M02E1.3	mRNA
M02E1.3.1	X	322523	323225	X	303285	1109056	2659638	7.84830329828005	0.149047162614618	Local eQTL	2356353	WBGene00023458	M02E1.3	mRNA
M02F4.1.1	X	3027180	3029130	I	13283222	14266541	14975186	7.19385059681594	0.159307312424782	Distant eQTL	1691964	WBGene00019735	M02F4.1	mRNA
M02G9.1a.1	II	10326041	10335807	IV	3699373	4430374	6457100	7.15886019589745	0.142423270715013	Distant eQTL	2757727	WBGene00010830	M02G9.1	mRNA
M02G9.1a.1	II	10326041	10335807	V	13594151	14654518	15302950	6.66484795750989	0.123738422879315	Distant eQTL	1708799	WBGene00010830	M02G9.1	mRNA
M02G9.1b.1	II	10326294	10335588	IV	3699373	4430374	6453908	7.27798670708344	0.155295990062914	Distant eQTL	2754535	WBGene00010830	M02G9.1	mRNA
